ï..Movie.Name,Release.Date,Opening.Day,Opening.Weekend,End.of.Week.1,Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.
Jail,06-11-2009,0N.A,0N.A,0N.A,7.69
London Dreams,30-10-2009,0N.A,14.6,23.36,28.96
Aladin,30-10-2009,0N.A,2.93,4.69,5.82
Blue,16-10-2009,5.83,18.07,29.72,38.55
All The Best,16-10-2009,1.82,12.38,22.14,41.41
Main Aurr Mrs Khanna,16-10-2009,1.64,4.42,6.86,7.4
Acid Factory,09-10-2009,0.61,1.93,3.76,3.8
Short Kut – The Con is On,07-10-2009,1.37,4.48,6.51,7.69
Do Knot Disturb,02-10-2009,3.63,9.22,13,16.93
Wake Up Sid,02-10-2009,3.66,10.42,15.68,27.95
What’s Your Raashee?,25-09-2009,1.61,5.95,8.62,10.13
Dil Bole Hadippa!,18-09-2009,3.42,11.82,17.59,23.35
Wanted,18-09-2009,5.1,15.57,33.63,60.24
Fox,04-09-2009,0.59,1.81,2.52,2.87
Aagey Se Right,04-09-2009,0.52,1.71,2.57,3.04
Quick Gun Murugun,28-08-2009,0.27,0.93,1.37,1.87
Daddy Cool,28-08-2009,0.86,2.79,3.99,4.44
Life Partner,14-08-2009,1.58,5.79,9.86,20.67
Kaminey,14-08-2009,4.39,14.82,24.6,41.52
Teree Sang,07-08-2009,0.31,1.08,1.69,1.97
Agyaat,07-08-2009,1.23,3.57,5.18,5.33
Love Aaj Kal,31-07-2009,8.02,27.86,42.8,66.56
Luck,24-07-2009,3.71,11.18,16.49,21.03
Partner,20-07-2009,5.38,16.57,27.74,60.05
Jashnn,17-07-2009,0.61,1.88,2.69,2.84
Kambakkht Ishq,03-07-2009,7.42,22.62,33.1,47.09
New York,26-06-2009,5.62,17.42,27.36,45.39
Paying Guests,19-06-2009,1,3.33,4.64,5.55
Kal Kissne Dekha,12-06-2009,1.03,3.34,4.75,5.67
99,15-05-2009,0.76,2.97,4.56,10.78
8×10 Tasveer,03-04-2009,1.89,6.15,9.16,15.41
Aa Dekhen Zara,27-03-2009,0.85,2.85,4.23,6.16
Ek – The Power of One,27-03-2009,1,3.22,4.71,6.31
Aloo Chaat,20-03-2009,0.56,2,3.11,4.86
Gulaal,13-03-2009,0.75,2.29,3.33,4.31
Jai Veeru,13-03-2009,0.59,1.73,2.48,2.79
13B,06-03-2009,0.88,3.1,4.77,7.37
Dhoondte Reh Jaoge,06-03-2009,0N.A,0N.A,4.74,6.3
Delhi-6,20-02-2009,4.77,15.43,22.2,30.7
Billu,13-02-2009,3.78,12.05,17.53,22.92
Dev D,06-02-2009,1.34,5.34,8.47,15.3
Luck By Chance,30-01-2009,1.72,5.97,9.16,12.25
Raaz – The Mystery Continues,23-01-2009,3.95,11.92,19.58,25.5
Chandni Chowk To China,16-01-2009,5.57,17.87,25.37,29.46
Shaabash! You Can Do It,01-01-2009,N.A.,N.A.,N.A.,N.A.
Love com,01-01-2009,N.A.,N.A.,N.A.,0.17
Trump Card,01-01-2009,N.A.,N.A.,N.A.,0.02
Ada… a way of life,31-12-2010,N.A.,N.A.,N.A.,0.01
Toonpur Ka Superrhero,24-12-2010,N.A.,1.4,2.37,3.55
Isi Life Mein,24-12-2010,N.A.,N.A.,N.A.,1.65
Tees Maar Khan,24-12-2010,13,38.25,49.75,60.91
Kaalo,17-12-2010,N.A.,N.A.,N.A.,0.6
332 Mumbai To India,17-12-2010,N.A.,N.A.,N.A.,0.25
Mirch,17-12-2010,N.A.,N.A.,N.A.,0.89
Payback,17-12-2010,N.A.,N.A.,N.A.,0.25
No Problem,10-12-2010,4.5,16.5,23.43,28
Band Baaja Baaraat,10-12-2010,0.95,5.2,9.4,17.08
Phas Gaye Re Obama,03-12-2010,0.22,1.2,2.05,2.45
Rakht Charitra – 2,03-12-2010,N.A.,N.A.,N.A.,3.86
Khelein Hum Jee Jaan Sey,03-12-2010,0N.A,3.25,5.01,5.01
Khuda Kasam,26-11-2010,0N.A,0.36,0.57,1.51
Allah Ke Banday,26-11-2010,N.A.,N.A.,N.A.,0.52
Spanish Beauty/A Beautiful Wife,26-11-2010,N.A.,N.A.,N.A.,0.06
Break Ke Baad,26-11-2010,3,10.5,15,17.64
Hisss,22-11-2010,N.A.,N.A.,N.A.,7.21
Diwangi Ne Had Kar Di,19-11-2010,N.A.,N.A.,N.A.,0.1
Guzaarish,19-11-2010,4,15,22,29.32
Shahrukh Bola Khoobsurat Hai Tu,19-11-2010,N.A.,N.A.,N.A.,0.11
Dunno Y Na Jaane Kyun…,12-11-2010,N.A.,N.A.,N.A.,0.05
Ramaa – The Saviour,12-11-2010,N.A.,N.A.,N.A.,0.15
A Flat,12-11-2010,N.A.,N.A.,N.A.,0.37
Golmaal 3,05-11-2010,8,33.58,62.19,106.34
Action Replayy,05-11-2010,2.75,16.75,23.4,29.06
Musaa,29-10-2010,N.A.,N.A.,N.A.,0.02
Nakshatra,29-10-2010,N.A.,N.A.,N.A.,0.16
Maalik Ek,29-10-2010,N.A.,N.A.,N.A.,0.05
Daayen Ya Baayen,29-10-2010,N.A.,N.A.,N.A.,0.04
Dus Tola,22-10-2010,N.A.,N.A.,N.A.,0.11
Rakht Charitra – I,22-10-2010,N.A.,N.A.,N.A.,9.04
Jhootha Hi Sahi,22-10-2010,N.A.,5,7.49,10.91
Kajraare,15-10-2010,N.A.,N.A.,N.A.,0.01
Aakrosh,15-10-2010,0N.A,7.73,12.35,13.64
Knock Out,15-10-2010,N.A.,3.91,6.28,7.17
Ramayana – The Epic,15-10-2010,N.A.,N.A.,N.A.,0.36
Do Dooni Chaar,08-10-2010,N.A.,N.A.,N.A.,4.32
Lava Kusa,08-10-2010,N.A.,N.A.,N.A.,0.2
Crook: It’s Good To Be Bad,08-10-2010,0N.A,7,11.05,12.4
Khichdi – The Movie,01-10-2010,0.75,3.58,5.04,5.1
Benny and Babloo,01-10-2010,0N.A,0N.A,0N.A,8.46
Robot,01-10-2010,0N.A,7.74,12.37,23.84
Anjaana Anjaani,01-10-2010,7,20.51,33,40.29
Life Express,17-09-2010,N.A.,N.A.,N.A.,0.05
For Real,17-09-2010,0N.A,0N.A,0N.A,0.08
Dabangg,10-09-2010,14.5,48.5,81,138.88
The Film Emotional Atyachar,03-09-2010,0N.A,0N.A,0N.A,0.98
Mallika,03-09-2010,0N.A,0N.A,0N.A,1.01
We Are Family,02-09-2010,2.7,14.2,17.86,21.64
Gumshuda,27-08-2010,N.A.,N.A.,N.A.,0.05
Geng,27-08-2010,N.A.,N.A.,N.A.,0.02
Hello Darling,27-08-2010,N.A.,N.A.,N.A.,2.97
Antardwand,27-08-2010,0N.A,0N.A,0N.A,0.25
Soch Lo,27-08-2010,N.A.,N.A.,N.A.,0.05
Aashayein,27-08-2010,N.A.,1.25,2.05,2.54
Madholal Keep Walking,27-08-2010,N.A.,N.A.,N.A.,0.06
Kis Hudh Tak…,20-08-2010,N.A.,N.A.,N.A.,0.01
Lafangey Parindey,20-08-2010,0N.A,10.5,17.25,21.77
And Once Again,20-08-2010,N.A.,N.A.,N.A.,0.12
PEEPLI [Live],13-08-2010,0N.A,16,22,30.41
Help,13-08-2010,N.A.,1.34,2.36,2.58
Aisha,06-08-2010,3.65,13.43,17.4,17.55
Once Upon A Time In Mumbaai,30-07-2010,6.05,22.01,34.2,55.47
Khatta Meetha,23-07-2010,7,23,32.91,38.66
Lamhaa,16-07-2010,N.A.,6,8.45,9.08
Udaan,16-07-2010,N.A.,1.25,2.5,3.35
Tere Bin Laden,16-07-2010,0.9,3.74,5.61,7.94
Milenge Milenge,09-07-2010,2.24,7.54,10.45,11
Red Alert – The War Within,09-07-2010,N.A.,N.A.,N.A.,1.55
I Hate Luv Storys,02-07-2010,7,23,33.13,43.17
Mr. Singh Mrs. Mehta,25-06-2010,N.A.,N.A.,N.A.,0.22
Krantiveer-The Revolution,25-06-2010,N.A.,N.A.,N.A.,0.76
www.Love.com,25-06-2010,N.A.,N.A.,N.A.,0.17
Raavan,18-06-2010,0N.A,16.5,23.58,29.17
The Camp,11-06-2010,N.A.,N.A.,N.A.,0.05
Ek Second… Jo Zindagi Badal De?,11-06-2010,N.A.,N.A.,N.A.,0.23
Raajneeti,04-06-2010,10.5,33.63,56,93.66
Ashok Chakra,28-05-2010,N.A.,N.A.,N.A.,0.05
Kites,21-05-2010,10.4,30.5,40.9,49.27
Admissions Open,14-05-2010,0N.A,0N.A,0N.A,0.07
Vroom,14-05-2010,N.A.,N.A.,N.A.,0.06
Kushti,14-05-2010,N.A.,N.A.,N.A.,0.43
Bumm Bumm Bole,14-05-2010,N.A.,N.A.,N.A.,1.09
Bal Hanuman 2,14-05-2010,N.A.,N.A.,N.A.,0.25
Badmaash Company,07-05-2010,0N.A,13.03,20.84,35.41
It’s a Wonderful Afterlife,07-05-2010,N.A.,N.A.,N.A.,1.09
Do Dilon Ke Khel Mein,06-05-2010,N.A.,N.A.,N.A.,0.03
Housefull,30-04-2010,10,29.8,52.3,75.62
Chase,29-04-2010,N.A.,N.A.,N.A.,0.35
Kuchh Kariye,23-04-2010,N.A.,N.A.,N.A.,0.05
City Of Gold,23-04-2010,N.A.,N.A.,N.A.,2.01
Muskurake Dekh Zara,23-04-2010,N.A.,N.A.,N.A.,0.3
Apartment,23-04-2010,N.A.,N.A.,N.A.,0.21
Mumbai 118,23-04-2010,N.A.,N.A.,N.A.,0.11
Bird Idol,23-04-2010,N.A.,N.A.,N.A.,0.29
Paathshaala,16-04-2010,N.A.,5.25,8.35,21.62
Phoonk 2,16-04-2010,N.A.,N.A.,N.A.,7.5
Jaane Kahan Se Aayi Hai,09-04-2010,0,2,3.22,4.57
The Japanese Wife,09-04-2010,N.A.,N.A.,N.A.,0.49
Prince,09-04-2010,N.A.,N.A.,N.A.,28.45
Tum Milo Toh Sahi,02-04-2010,N.A.,N.A.,N.A.,3.52
Sadiyaan,02-04-2010,N.A.,N.A.,N.A.,0.69
The Great Indian Butterfly,02-04-2010,N.A.,0,N.A.,0.04
Pankh,02-04-2010,N.A.,0.17,0.17,0.21
My Friend Ganesha 3,26-03-2010,N.A.,N.A.,N.A.,0.23
Well Done Abba,26-03-2010,N.A.,N.A.,N.A.,3.74
Prem Kaa Game,26-03-2010,N.A.,N.A.,N.A.,N.A.
Hum Tum Aur Ghost,26-03-2010,0N.A,2.5,0N.A,5.09
Mittal V/S Mittal,26-03-2010,N.A.,N.A.,N.A.,0.2
Lahore,19-03-2010,N.A.,N.A.,N.A.,1.05
Idiot Box,19-03-2010,N.A.,N.A.,N.A.,0.03
Shaapit,19-03-2010,N.A.,N.A.,6.05,9.48
Love Sex Aur Dhokha,19-03-2010,N.A.,4.25,6.4,9.78
Na Ghar Ke Na Ghaat Ke,12-03-2010,N.A.,N.A.,N.A.,0.82
Swaha,12-03-2010,N.A.,N.A.,N.A.,0.01
Right Yaaa Wrong,12-03-2010,N.A.,1.93,3.07,4.11
Hide & Seek,12-03-2010,N.A.,N.A.,N.A.,0.56
Atithi Tum Kab Jaoge?,05-03-2010,0N.A,11.86,18.93,41.12
Rokkk,05-03-2010,N.A.,N.A.,N.A.,0.93
Thanks Maa,05-03-2010,N.A.,N.A.,N.A.,0.11
Hello Zindagi,05-03-2010,N.A.,N.A.,N.A.,0.01
Teen Patti,26-02-2010,0N.A,3.84,6.11,6.77
Karthik Calling Karthik,26-02-2010,0N.A,8.92,14.27,26.92
Toh Baat Pakki,19-02-2010,N.A.,N.A.,N.A.,4.24
Click,19-02-2010,N.A.,N.A.,N.A.,2.46
My Name Is Khan,12-02-2010,8,30,48.45,82.52
"Road, Movie",05-02-2010,N.A.,0.83,1.32,2.23
Phaans – Ek Jasoos Ki Kahani,05-02-2010,N.A.,N.A.,N.A.,0.01
Striker,05-02-2010,N.A.,0.8,0,0.84
Rann,29-01-2010,0N.A,4.73,7.55,7.85
Ishqiya,29-01-2010,0N.A,9.33,13.22,28.55
Veer,22-01-2010,7,19.57,31.82,46
Chance Pe Dance,15-01-2010,N.A.,6,9.55,20.62
Bhavnao Ko Samjho,15-01-2010,N.A.,N.A.,N.A.,0.02
Hello Hum Lallann Bol Rahe Hain,15-01-2010,N.A.,0,N.A.,0.03
Mission 11 Jul,15-01-2010,0N.A,0N.A,0N.A,0.02
Dulha Mil Gaya,08-01-2010,0N.A,0N.A,0N.A,4.15
Pyaar Impossible,08-01-2010,0N.A,2.96,4.75,6.27
Ek Aadat,30-11-2009,N.A.,N.A.,N.A.,0.01
Kya Yahi Sach Hai,30-12-2011,0N.A,0N.A,0.19,0.2
Don Ke Baad Kaun?,23-12-2011,N.A.,N.A.,N.A.,0.06
Don 2,23-12-2011,15.3,48.39,75.51,106.71
Pappu Can’t Dance Saala,16-12-2011,N.A.,N.A.,N.A.,0.37
Faraar,16-12-2011,N.A.,N.A.,N.A.,N.A.
Jo Hum Chahein,16-12-2011,N.A.,N.A.,0.23,0.23
Ye Stupid Pyar,09-12-2011,0N.A,0N.A,0N.A,0.01
Lanka,09-12-2011,N.A.,N.A.,0.51,0.52
Ladies VS Ricky Bahl,09-12-2011,4.74,16.54,24.93,32.97
The Dirty Picture,02-12-2011,9.54,32.7,52.5,80
I Am Singh,02-12-2011,N.A.,N.A.,0.35,0.37
Ek Main Ek Tum,01-12-2011,N.A.,N.A.,N.A.,0.01
Desi Boyz,25-11-2011,8,25.5,35.27,42.4
Dam 999,25-11-2011,N.A.,N.A.,0.81,1.13
Shakal Pe Mat Ja,18-11-2011,N.A.,N.A.,0.35,0.39
Who’s There?,18-11-2011,N.A.,N.A.,N.A.,0.03
Rockstar,11-11-2011,10.6,33.6,49.01,62
Tension Doooor,04-11-2011,0N.A,0N.A,0.01,0.02
Na Jaane Kabse..,04-11-2011,N.A.,N.A.,0.02,0.03
Miley Naa Miley Hum,04-11-2011,N.A.,0.46,0.71,0.77
Loot,04-11-2011,N.A.,N.A.,3.12,3.42
Tell Me O Kkhuda,27-10-2011,N.A.,N.A.,0.93,1.28
Damadamm!,27-10-2011,N.A.,N.A.,0.86,1.07
Ra.One,26-10-2011,18.5,92,99,114.29
Be-Careful,21-10-2011,0N.A,0N.A,0.26,0.3
Aazaan,14-10-2011,N.A.,N.A.,1.67,2.31
My Friend Pinto,14-10-2011,N.A.,N.A.,1.45,1.91
Jo Dooba So Paar – It’s Love in Bihar!,14-10-2011,0N.A,0N.A,0N.A,0.28
Mujhse Fraaandship Karoge,14-10-2011,0.5,2.18,3.7,5.12
Mod,14-10-2011,N.A.,N.A.,0.41,0.51
Love Breakups Zindagi,07-10-2011,N.A.,N.A.,1.42,1.7
Soundtrack,07-10-2011,N.A.,N.A.,0.43,0.53
9 Eleven,07-10-2011,N.A.,N.A.,0.02,0.03
Rascals,06-10-2011,0N.A,23.5,27.68,32.6
Saheb Biwi Aur Gangster,30-09-2011,0N.A,3.75,5.77,10.4
Tere Mere Phere,30-09-2011,0N.A,0N.A,0.54,0.65
Force,30-09-2011,5.05,16,24.52,27.29
Chargesheet,30-09-2011,N.A.,N.A.,0.02,0.03
Hum Tum Shabana,30-09-2011,N.A.,1.2,1.9,2.34
Speedy Singhs,23-09-2011,N.A.,N.A.,3.25,3.52
Mausam,23-09-2011,0N.A,20.75,28.49,29.75
U R My Jaan,23-09-2011,N.A.,N.A.,0.06,0.09
Rivaaz,16-09-2011,N.A.,N.A.,0.22,0.33
Mere Brother Ki Dulhan,09-09-2011,7.4,25.9,38.99,58.7
That Girl in Yellow Boots,02-09-2011,N.A.,N.A.,N.A.,2.14
Bol,31-08-2011,0N.A,0N.A,1.27,2.05
Bodyguard,31-08-2011,21.6,88.75,115,148.86
Mummy Punjabi,31-08-2011,N.A.,N.A.,0.16,0.2
Shabri,26-08-2011,N.A.,N.A.,0.27,0.37
Stand By,26-08-2011,N.A.,N.A.,0.25,0.35
Chitkabrey – Shades Of Grey,26-08-2011,0N.A,0N.A,0.15,0.26
Yeh Dooriyan,26-08-2011,N.A.,N.A.,0.26,0.37
Not A Love Story,19-08-2011,N.A.,N.A.,3.5,4.11
Sahi Dhandhe Galat Bande,19-08-2011,N.A.,N.A.,0.61,0.65
5ters – Castle Of Dark Master,19-08-2011,N.A.,N.A.,N.A.,0.01
Chatur Singh Two Star,19-08-2011,N.A.,1.61,2.6,3.26
Aarakshan,12-08-2011,0N.A,16.9,26.52,40.04
Phhir,12-08-2011,N.A.,N.A.,1.91,2.5
I Am Kalam,05-08-2011,N.A.,N.A.,0.6,0.7
Chala Mussaddi – Office Office,05-08-2011,N.A.,N.A.,1.35,1.57
Gandhi To Hitler,29-07-2011,N.A.,N.A.,0.26,0.36
Bubble Gum,29-07-2011,0N.A,0N.A,0.11,0.16
Khap,29-07-2011,N.A.,N.A.,0.12,0.15
Singham,22-07-2011,8.94,30.98,51.25,100.3
Zindagi Na Milegi Dobara,15-07-2011,8,28.25,45.4,90.27
Murder 2,08-07-2011,7.1,22.35,36.5,47.9
Chillar Party,08-07-2011,0.45,3.15,5.1,6.55
Bbuddah…Hoga Terra Baap,01-07-2011,1.9,7.32,11.55,13.5
Delhi Belly,01-07-2011,7.15,26.15,35.02,52
Double Dhamaal,24-06-2011,7.62,22.78,36.59,43.88
Bheja Fry 2,17-06-2011,2.05,6.65,8.25,10.5
Cycle Kick,17-06-2011,N.A.,N.A.,0.02,0.04
Always Kabhi Kabhi,17-06-2011,N.A.,N.A.,2.51,2.88
Bin Bulaye Baarati,17-06-2011,0N.A,0N.A,2.76,3.76
Bhindi Baazaar Inc,17-06-2011,N.A.,N.A.,1.16,1.21
Love Express,10-06-2011,N.A.,N.A.,0.15,0.27
Shaitan,10-06-2011,0.81,3.41,5.25,8.19
Ready,03-06-2011,13.15,40.65,68.02,119.78
A Strange Love Story,03-06-2011,N.A.,N.A.,0.05,0.06
Kucch Luv Jaisaa,27-05-2011,N.A.,N.A.,2.38,2.92
Sheetalbhabhi.com,27-05-2011,0N.A,0N.A,0.15,0.17
Kashmakash,20-05-2011,N.A.,N.A.,0.27,0.3
404,20-05-2011,N.A.,N.A.,0.71,0.99
Pyaar Ka Punchnama,20-05-2011,0.92,3.25,5.56,9
Love U… Mr. Kalakaar!,13-05-2011,N.A.,0.86,1.31,1.93
Shagird,13-05-2011,N.A.,N.A.,1.82,2.07
Stanley Ka Dabba,13-05-2011,N.A.,N.A.,2.6,5.7
Ragini MMS,12-05-2011,0N.A,0N.A,8.06,9.87
Luv Ka The End,06-05-2011,0.6,2.45,4.28,5.88
Haunted – 3D,06-05-2011,2.67,9.33,14.63,25.56
Naughty @ 40,29-04-2011,N.A.,N.A.,N.A.,4.12
Queens! Destiny Of Dance,29-04-2011,N.A.,N.A.,N.A.,0.09
Men Will Be Men,29-04-2011,N.A.,N.A.,N.A.,0.19
I Am,29-04-2011,N.A.,N.A.,N.A.,0.41
Chalo Dilli,29-04-2011,N.A.,3.88,6.22,6.48
Shor In The City,28-04-2011,N.A.,2.34,3.73,3.96
Zokkomon,22-04-2011,N.A.,N.A.,N.A.,0.61
Dum Maaro Dum,22-04-2011,5.4,16.5,23.8,31.74
Teen Thay Bhai,15-04-2011,0.6,2.3,N.A.,2.93
Thank You,08-04-2011,5,18.5,30.5,46.57
F.A.L.T.U,01-04-2011,4.4,13,17.25,24.57
The Green Chic,01-04-2011,N.A.,N.A.,N.A.,N.A.
Game,01-04-2011,1.25,3.25,4.6,6.1
Happy Husbands,25-03-2011,N.A.,N.A.,N.A.,0.36
Yeh Faasley,04-03-2011,N.A.,N.A.,N.A.,0.22
Tanu Weds Manu,25-02-2011,3.26,11.27,18.56,36.84
Satrangee Parachute,25-02-2011,N.A.,N.A.,N.A.,0.06
Kaccha Limboo,18-02-2011,0N.A,0N.A,0N.A,0.06
7 Khoon Maaf,18-02-2011,3.3,11.53,15.5,17.69
Patiala House,11-02-2011,4.1,15.25,22.5,31.16
Aashiqui.in,11-02-2011,N.A.,N.A.,N.A.,0.09
Angel,11-02-2011,N.A.,N.A.,N.A.,0.06
Utt Pataang,04-02-2011,N.A.,N.A.,N.A.,0.33
Yeh Saali Zindagi,04-02-2011,1.15,4.6,7.5,12.1
United Six,04-02-2011,N.A.,N.A.,N.A.,0.3
Dil Toh Baccha Hai Ji,28-01-2011,3.7,15,21.13,28.91
Dhobi Ghat,21-01-2011,3.05,10.05,11.61,13.77
Yamla Pagla Deewana,14-01-2011,7.95,22.8,33.99,55.28
Turning 30!!!,14-01-2011,0N.A,0N.A,0N.A,1.16
No One Killed Jessica,07-01-2011,3.25,13.1,20.7,24.72
Ashoka The Hero,07-01-2011,N.A.,N.A.,N.A.,0.1
Vikalp,07-01-2011,0N.A,0N.A,0N.A,0.11
Impatient Vivek,07-01-2011,N.A.,N.A.,N.A.,0.09
Secrets Of Sex,28-Dec-12,0N.A,0N.A,0.01,0.21
Hansa,28-Dec-12,N.A.,N.A.,0.01,0.01
Dabangg 2,21-Dec-12,21.1,65,106.78,155
Myoho,14-Dec-12,N.A.,N.A.,N.A.,0.01
Cigarette Ki Tarah,14-Dec-12,N.A.,N.A.,0.11,0.12
10ml Love,07-Dec-12,N.A.,N.A.,0.39,0.04
Khiladi 786,07-Dec-12,10.4,34.3,52.55,70
Talaash,30-Nov-12,13.5,47.1,67.9,93.4
Life of Pi,23-Nov-12,0N.A,0N.A,0N.A,61
Jeet Lengey Jahaan,23-Nov-12,N.A.,N.A.,0.03,0.06
Operation Mumbai,23-Nov-12,N.A.,N.A.,N.A.,0.02
Jab Tak Hai Jaan,13-Nov-12,15.23,80.73,98.41,120.85
Son Of Sardaar,13-Nov-12,10.72,66.02,83.25,105.03
It’s Rocking – Dard-E-Disco,09-Nov-12,N.A.,N.A.,N.A.,0.06
Murder In Mumbai,09-Nov-12,N.A.,N.A.,0.02,0.12
1920 – Evil Returns,02-Nov-12,4.05,12.27,19,22.86
Sons of Ram,02-Nov-12,N.A.,N.A.,0.19,0.19
Future To Bright Hai Ji,02-Nov-12,N.A.,N.A.,N.A.,0.01
Ata Pata Laapata,02-Nov-12,N.A.,N.A.,0.37,0.38
Luv Shuv Tey Chicken Khurana,02-Nov-12,1.25,5.75,7.8,9
Le Gaya Saddam,02-Nov-12,N.A.,N.A.,0.05,0.06
Ajab Gazabb Love,26-Oct-12,N.A.,4.25,7,7.22
Rush,26-Oct-12,0N.A,2.1,3.25,3.41
Chakravyuh,24-Oct-12,0N.A,12.25,16.75,18.42
Shudra The Rising,19-Oct-12,N.A.,N.A.,0.63,0.76
Janleva 555,19-Oct-12,0N.A,0N.A,0.05,0.1
Delhi Safari,19-Oct-12,0N.A,0N.A,1.28,1.53
Student Of The Year,19-Oct-12,7.48,30,48,70
In The Name Of.. Tai,12-Oct-12,N.A.,N.A.,N.A.,0.01
Prem Mayee,12-Oct-12,N.A.,N.A.,0.01,0.01
Login,12-Oct-12,N.A.,N.A.,0.1,0.04
Chittagong,12-Oct-12,0N.A,0N.A,0.15,0.19
Bhoot Returns,12-Oct-12,N.A.,3.75,4.75,4.96
Aiyyaa,12-Oct-12,1.35,4.75,6.25,6.63
English Vinglish,05-Oct-12,2.51,13.06,21,34.86
Kismet Love Paisa Dilli,05-Oct-12,N.A.,N.A.,3.74,3.8
OMG Oh My God!,28-Sep-12,4.25,18.65,36.94,81.46
Kamaal Dhamaal Malamaal,28-Sep-12,1.19,6.36,5.54,5.87
Heroine,21-Sep-12,7.5,25,37.1,43.45
The Lost Tape,14-Sep-12,N.A.,N.A.,N.A.,0.08
Qayamat Hi Qayamat,14-Sep-12,N.A.,N.A.,0.36,0.49
Barfi!,14-Sep-12,9.2,34.6,58.6,112.15
Jeena Hai Toh Thok Daal,14-Sep-12,N.A.,N.A.,0.01,0.36
Riwayat,07-Sep-12,N.A.,N.A.,N.A.,0.01
Raaz 3,07-Sep-12,10.47,36.02,55.25,70.07
Chal Pichchur Banate Hain,07-Sep-12,N.A.,N.A.,0.06,0.07
Jalpari,31-Aug-12,N.A.,N.A.,0.03,0.04
From Sydney With Love,31-Aug-12,N.A.,N.A.,0.08,0.13
Joker,31-Aug-12,5,15.75,21,22.51
I M 24,31-Aug-12,N.A.,N.A.,0.15,0.18
